Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
192.168.10.5-104.97.125.160-55143-443-6,104.97.125.160,443,192.168.10.5,55143,6,7/7/2017 3:30,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,12300000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,980,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.5-104.97.125.160-55144-443-6,104.97.125.160,443,192.168.10.5,55144,6,7/7/2017 3:30,1,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,37000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,40,0,2000000,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,980,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.5-104.97.125.160-55145-443-6,104.97.125.160,443,192.168.10.5,55145,6,7/7/2017 3:30,4,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,9250000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,1,0,0,0,40,0,500000,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,980,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.5-104.97.139.37-55254-443-6,104.97.139.37,443,192.168.10.5,55254,6,7/7/2017 3:30,3,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0,0,14300000,1000000,1.5,0.707106781,2,1,3,1.5,0.707106781,2,1,0,0,0,0,0,0,0,0,0,60,0,1000000,0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0,60,0,0,0,0,0,0,3,43,0,0,946,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.16-104.97.140.32-36206-80-6,104.97.140.32,80,192.168.10.16,36206,6,7/7/2017 3:30,54,1,1,0,0,0,0,0,0,0,0,0,0,0,37037.03704,54,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,18518.51852,18518.51852,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,939,1269,0,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.25-121.29.54.141-53524-443-6,121.29.54.141,443,192.168.10.25,53524,6,7/7/2017 3:30,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,64,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,130,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.25-121.29.54.141-53524-443-6,121.29.54.141,443,192.168.10.25,53524,6,7/7/2017 3:30,154,1,1,0,0,0,0,0,0,0,0,0,0,0,12987.01299,154,0,154,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,6493.506494,6493.506494,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,130,65535,0,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.25-121.29.54.141-53526-443-6,121.29.54.141,443,192.168.10.25,53526,6,7/7/2017 3:30,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,64,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,130,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.25-121.29.54.141-53526-443-6,121.29.54.141,443,192.168.10.25,53526,6,7/7/2017 3:30,118,1,1,0,0,0,0,0,0,0,0,0,0,0,16949.15254,118,0,118,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8474.576271,8474.576271,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,130,65535,0,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.25-121.29.54.141-53527-443-6,121.29.54.141,443,192.168.10.25,53527,6,7/7/2017 3:30,239,1,1,0,0,0,0,0,0,0,0,0,0,0,8368.200837,239,0,239,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4184.100418,4184.100418,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,130,65535,0,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.25-121.29.54.141-53528-443-6,121.29.54.141,443,192.168.10.25,53528,6,7/7/2017 3:30,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3000000,0.5,0.707106781,1,0,1,0.5,0.707106781,1,0,0,0,0,0,0,0,0,0,0,96,0,3000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,96,0,0,0,0,0,0,3,0,0,0,130,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.25-121.29.54.141-53527-443-6,121.29.54.141,443,192.168.10.25,53527,6,7/7/2017 3:30,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,64,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,130,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
138.201.37.241-192.168.10.5-443-55035-6,138.201.37.241,443,192.168.10.5,55035,6,7/7/2017 3:30,4,2,0,248,0,217,31,124,131.5218613,0,0,0,0,62000000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,1,0,0,0,40,0,500000,0,31,217,155,107.3871501,11532,0,1,0,0,1,0,0,0,0,232.5,124,0,40,0,0,0,0,0,0,2,248,0,0,237,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
144.76.121.178-192.168.10.5-443-55275-6,144.76.121.178,443,192.168.10.5,55275,6,7/7/2017 3:30,5,3,0,254,0,217,6,84.66666667,115.283708,0,0,0,0,50800000,600000,2.5,2.121320344,4,1,5,2.5,2.121320344,4,1,0,0,0,0,0,1,0,0,0,60,0,600000,0,6,217,117.75,115.0575943,13238.25,0,1,0,0,1,0,0,0,0,157,84.66666667,0,60,0,0,0,0,0,0,3,254,0,0,123,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
145.243.233.163-192.168.10.5-443-55277-6,145.243.233.163,443,192.168.10.5,55277,6,7/7/2017 3:30,4,2,0,12,0,6,6,6,0,0,0,0,0,3000000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,40,0,500000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,35095,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
151.101.0.166-192.168.10.9-443-8850-6,151.101.0.166,443,192.168.10.9,8850,6,7/7/2017 3:30,4,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0,0,10800000,750000,2,1.414213562,3,1,4,2,1.414213562,3,1,0,0,0,0,0,0,0,0,0,60,0,750000,0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0,60,0,0,0,0,0,0,3,43,0,0,65,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
151.101.0.249-192.168.10.16-80-43248-6,151.101.0.249,80,192.168.10.16,43248,6,7/7/2017 3:30,54,1,1,0,0,0,0,0,0,0,0,0,0,0,37037.03704,54,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,18518.51852,18518.51852,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,59,439,0,32,0,0,0,0,0,0,0,0,BENIGN
151.101.0.249-192.168.10.9-443-8678-6,151.101.0.249,443,192.168.10.9,8678,6,7/7/2017 3:30,42,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0,0,1023809.524,71428.57143,21,25.45584412,39,3,42,21,25.45584412,39,3,0,0,0,0,0,0,0,0,0,60,0,71428.57143,0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0,60,0,0,0,0,0,0,3,43,0,0,64,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
151.101.1.108-192.168.10.5-443-55063-6,151.101.1.108,443,192.168.10.5,55063,6,7/7/2017 3:30,4,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,9250000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,1,0,0,0,40,0,500000,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,60,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
151.101.1.5-192.168.10.5-443-55203-6,151.101.1.5,443,192.168.10.5,55203,6,7/7/2017 3:30,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,12300000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,60,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
151.101.130.2-192.168.10.5-443-55140-6,151.101.130.2,443,192.168.10.5,55140,6,7/7/2017 3:30,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,12300000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,62,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
151.101.130.2-192.168.10.5-443-55180-6,151.101.130.2,443,192.168.10.5,55180,6,7/7/2017 3:30,737,2,1,37,6,31,6,18.5,17.67766953,6,6,6,0,58344.64043,4070.556309,368.5,310.4198769,588,149,737,737,0,737,737,0,0,0,0,0,1,0,0,0,40,20,2713.704206,1356.852103,6,31,18.5,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,24.66666667,18.5,6,40,0,0,0,0,0,0,2,37,1,6,62,0,1,20,0,0,0,0,0,0,0,0,BENIGN
151.101.130.2-192.168.10.5-443-55156-6,151.101.130.2,443,192.168.10.5,55156,6,7/7/2017 3:30,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,12300000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,62,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
151.101.2.2-192.168.10.5-443-55096-6,151.101.2.2,443,192.168.10.5,55096,6,7/7/2017 3:30,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,12300000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,60,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
151.101.2.2-192.168.10.5-443-55085-6,151.101.2.2,443,192.168.10.5,55085,6,7/7/2017 3:30,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,12300000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,62,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
151.101.44.249-192.168.10.9-443-8689-6,151.101.44.249,443,192.168.10.9,8689,6,7/7/2017 3:30,276,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0,0,155797.1014,10869.56522,138,192.3330445,274,2,276,138,192.3330445,274,2,0,0,0,0,0,0,0,0,0,60,0,10869.56522,0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0,60,0,0,0,0,0,0,3,43,0,0,62,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
152.163.13.4-192.168.10.9-443-8817-6,152.163.13.4,443,192.168.10.9,8817,6,7/7/2017 3:30,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,40905,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
152.163.13.4-192.168.10.9-443-8816-6,152.163.13.4,443,192.168.10.9,8816,6,7/7/2017 3:30,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,40905,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
152.163.56.2-192.168.10.9-443-8886-6,152.163.56.2,443,192.168.10.9,8886,6,7/7/2017 3:30,1,2,0,12,0,6,6,6,0,0,0,0,0,12000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,5114,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
152.163.66.165-192.168.10.16-80-60350-6,152.163.66.165,80,192.168.10.16,60350,6,7/7/2017 3:30,105,1,1,6,6,6,6,6,0,6,6,6,0,114285.7143,19047.61905,105,0,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,9523.809524,9523.809524,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,1024,274,0,20,0,0,0,0,0,0,0,0,BENIGN
152.163.66.165-192.168.10.16-80-60346-6,152.163.66.165,80,192.168.10.16,60346,6,7/7/2017 3:30,66,1,1,6,6,6,6,6,0,6,6,6,0,181818.1818,30303.0303,66,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,15151.51515,15151.51515,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,1024,274,0,20,0,0,0,0,0,0,0,0,BENIGN
152.163.66.165-192.168.10.16-80-60352-6,152.163.66.165,80,192.168.10.16,60352,6,7/7/2017 3:30,68,1,1,6,6,6,6,6,0,6,6,6,0,176470.5882,29411.76471,68,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,14705.88235,14705.88235,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,1024,320,0,20,0,0,0,0,0,0,0,0,BENIGN
169.60.66.35-192.168.10.9-443-8833-6,169.60.66.35,443,192.168.10.9,8833,6,7/7/2017 3:30,48,2,0,12,0,6,6,6,0,0,0,0,0,250000,41666.66667,48,0,48,48,48,48,0,48,48,0,0,0,0,0,0,0,0,0,40,0,41666.66667,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,23,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-192.168.10.8-443-9331-6,172.217.10.238,443,192.168.10.8,9331,6,7/7/2017 3:30,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-192.168.10.8-443-9175-6,172.217.10.238,443,192.168.10.8,9175,6,7/7/2017 3:30,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,385,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-192.168.10.9-80-8693-6,172.217.10.238,80,192.168.10.9,8693,6,7/7/2017 3:30,16,1,1,6,6,6,6,6,0,6,6,6,0,750000,125000,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,62500,62500,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,351,258,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-192.168.10.9-80-8695-6,172.217.10.238,80,192.168.10.9,8695,6,7/7/2017 3:30,63,1,1,6,6,6,6,6,0,6,6,6,0,190476.1905,31746.03175,63,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,15873.01587,15873.01587,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,360,255,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-192.168.10.9-80-8690-6,172.217.10.238,80,192.168.10.9,8690,6,7/7/2017 3:30,17,1,1,6,6,6,6,6,0,6,6,6,0,705882.3529,117647.0588,17,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,58823.52941,58823.52941,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,360,255,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-192.168.10.9-80-8694-6,172.217.10.238,80,192.168.10.9,8694,6,7/7/2017 3:30,123,1,1,6,6,6,6,6,0,6,6,6,0,97560.97561,16260.1626,123,0,123,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,8130.081301,8130.081301,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,360,255,0,20,0,0,0,0,0,0,0,0,BENIGN
